title,category,brand
"Apple iPhone 15 Pro Max 256GB","Elektronik","Apple"
"Apple iPhone 15 Pro Kılıf Deri","Aksesuar","Apple"
"Apple iPhone 14 Şarj Aleti (20W Adaptör)","Aksesuar","Apple"
"Samsung Galaxy S24 Ultra","Elektronik","Samsung"
"Samsung Galaxy Tab S9 FE","Elektronik","Samsung"
"Samsung Smart TV 55 inç Kristal UHD","Elektronik","Samsung"
"Sony Playstation 5 Slim Konsol","Oyun Konsolları","Sony"
"Sony WH-1000XM5 Gürültü Engelleyici Kulaklık","Aksesuar","Sony"
"Microsoft Xbox Series X Konsol","Oyun Konsolları","Microsoft"
"Microsoft Xbox Elite Series 2 Oyun Kolu","Aksesuar","Microsoft"
"Dizüstü Bilgisayar Soğutucu Stand","Aksesuar","Diğer"
"Dizüstü Bilgisayar Çantası 15.6 inç","Aksesuar","Diğer"
"Laptop Standı Alüminyum","Aksesuar","Diğer"
"Laptop Soğutucu Pad","Aksesuar","Diğer"
"Kahve Makinesi Filtreli","Mutfak Aletleri","Arçelik"
"Kahve Öğütücü Çekirdek","Mutfak Aletleri","Delonghi"
"Türk Kahvesi Makinesi","Mutfak Aletleri","Arzum"
"Espresso Makinesi Otomatik","Mutfak Aletleri","Siemens"
"Drone Kameralı 4K Profesyonel","Hobi","DJI"
"Drone Yedek Pervane Seti","Aksesuar","DJI"
"Tıraş Makinesi Islak & Kuru","Kişisel Bakım","Philips"
"Tıraş Sonrası Balsam","Kişisel Bakım","Nivea"
"Saç Düzleştirici Keratin Seramik","Kişisel Bakım","Remington"
"Saç Kurutma Makinesi Profesyonel","Kişisel Bakım","Dyson"